Name, Party, n_Spouses, n_Children, Religion, Birthyear 
A.T._Frank, Democratic Party (United States), 0, 0, None, 1966 
A._A._Fredericks, Democratic Party (United States), 0, 0, Episcopal Church (United States), 1891 
A._A._Pennington, Democratic Party (United States), 0, 0, None, None 
A._B._Colton, Republican Party (United States), 0, 0, None, None 
A._B._Franklin, Democratic Party (United States), 0, 0, None, None 
A._B._George, Democratic Party (United States), 0, 0, None, None 
A._B._Swindell, Democratic Party (United States), 0, 0, None, 1945 
A._Brown_Moore, Democratic Party (United States), 0, 0, None, 1911 
A._C._Clemons, Democratic Party (United States), 0, 0, United Methodist Church, 1921 
A._C._Gibbs, Republican Party (United States), 0, 0, None, 1825 
A._C._Hamlin, Republican Party (United States), 0, 0, None, 1881 
A._Carville_Foster, Republican Party (United States), 0, 0, None, 1932 
A._Clifford_Jones, Republican Party (United States), 0, 0, None, 1921 
A._Dean_Jeffs, Republican Party (United States), 0, 0, The Church of Jesus Christ of Latter-day Saints, 1928 
A._F._Vandeventer, Democratic Party (United States), 0, 0, None, None 
A._Felix_du_Pont, Democratic Party (United States), 0, 4, Episcopal Church (United States), 1879 
A._G._Crowe, Republican Party (United States), 0, 0, Southern Baptist Convention, 1948 
A._G._Lancione, Democratic Party (United States), 0, 0, None, 1907 
A._H._Greenhalgh, Democratic Party (United States), 0, 0, None, None 
A._Harry_Moore, Democratic Party (United States), 0, 0, Christian Reformed Church in North America, 1877 
A._J._DeMedio, Democratic Party (United States), 0, 0, None, 1916 
A._J._Holloway, Republican Party (United States), 0, 0, None, None 
A._J._McNamara, Democratic Party (United States), 0, 0, Catholic Church, 1936 
A._James_Manchin, Democratic Party (United States), 0, 0, Catholic Church, 1927 
A._Jeff_McLemore, Democratic Party (United States), 0, 0, None, 1857 
A._Joseph_DeNucci, Democratic Party (United States), 0, 0, None, 1939 
A._Joseph_Valicenti, Democratic Party (United States), 0, 0, None, 1923 
A._L._Philpott, Democratic Party (United States), 0, 0, Methodism, 1919 
A._Leonard_Allen, Democratic Party (United States), 0, 0, Baptists, 1891 
A._Linwood_Holton,_Jr., Republican Party (United States), 0, 2, None, 1923 
A._M._Starr, Republican Party (United States), 0, 0, None, None 
A._Mitchell_Palmer, Democratic Party (United States), 0, 0, Quakers, 1872 
A._P._Lutali, Democratic Party (United States), 1, 0, None, 1919 
A._P._Tugwell, Democratic Party (United States), 0, 0, None, 1889 
A._P._Tureaud, Republican Party (United States), 0, 0, Catholic Church, 1899 
A._Piatt_Andrew, Republican Party (United States), 0, 0, None, 1873 
A._R._Johnson, Democratic Party (United States), 0, 0, Presbyterianism, 1856 
A._R._McCabe, Democratic Party (United States), 0, 0, None, 1896 
A._Ralph_Mollis, Democratic Party (United States), 0, 0, None, 1961 
A._S._J._Carnahan, Democratic Party (United States), 0, 0, Baptists in the United States, 1897 
A._Scott_Sloan, Republican Party (United States), 0, 0, None, 1820 
A._Shane_Massey, Republican Party (United States), 0, 0, None, 1975 
A._T._%22Apple%22_Sanders,_Jr., Democratic Party (United States), 0, 0, None, 1926 
A._Victor_Donahey, Democratic Party (United States), 0, 0, None, 1873 
A._W._Norblad, Republican Party (United States), 0, 0, None, 1881 
A._W._Sheldon, Republican Party (United States), 0, 0, None, None 
A._Walter_Norblad, Republican Party (United States), 0, 0, None, 1908 
A._William_Sweeney, Democratic Party (United States), 0, 0, None, 1920 
Ammon_Bundy, Republican Party (United States), 0, 0, The Church of Jesus Christ of Latter-day Saints, 1975 
Amo_Houghton, Republican Party (United States), 0, 0, Episcopal Church (United States), 1926 
Amos_Clark,_Jr., Republican Party (United States), 0, 0, None, 1828 
Amos_E._Wood, Democratic Party (United States), 0, 0, None, 1810 
Amos_Gustine, Democratic Party (United States), 0, 0, None, None 
Amos_H._Jackson, Republican Party (United States), 0, 0, None, 1846 
Amos_H._Radcliffe, Republican Party (United States), 0, 0, None, 1870 
Amos_Hutchinson, Democratic Party (United States), 0, 0, None, 1920 
Amos_Kendall, Democratic Party (United States), 0, 0, None, 1789 
Amos_Nourse, Republican Party (United States), 0, 0, None, 1794 
Amos_R._Webber, Republican Party (United States), 0, 0, None, 1852 
Amos_Townsend, Republican Party (United States), 0, 0, None, None 
Amos_W._Barber, Republican Party (United States), 0, 0, Quakers, 1861 
Amy_Carter, Democratic Party (United States), 0, 0, None, 1967 
Amy_Carter_(Georgia_politician), Republican Party (United States), 0, 0, Christian Church (Disciples of Christ), None 
Amy_Handlin, Republican Party (United States), 0, 0, None, 1956 
Amy_Klobuchar, Democratic Party (United States), 1, 0, United Church of Christ, 1960 
Amy_Loudenbeck, Republican Party (United States), 0, 0, None, 1969 
Amy_Paulin, Democratic Party (United States), 0, 0, Christian, 1955 
Amy_Rice, Democratic Party (United States), 0, 0, None, 1966 
Amy_Salerno, Republican Party (United States), 0, 0, None, 1956 
Amy_Sheldon, Democratic Party (United States), 0, 0, None, 1966 
Amy_Stephens, Republican Party (United States), 0, 0, Christianity, 1957 
Amy_Sue_Vruwink, Democratic Party (United States), 0, 0, None, 1975 
Ana_Hernandez, Democratic Party (United States), 0, 0, None, 1978 
Ana_Hernandez_Luna, Democratic Party (United States), 0, 0, None, 1978 
Ana_Sol_Gutierrez, Democratic Party (United States), 0, 0, Catholicism, 1942 
Anastasia_P._Williams, Democratic Party (United States), 0, 0, None, 1957 
Anastasia_Pittman, Democratic Party (United States), 0, 0, None, 1970 
Ancher_Nelsen, Republican Party (United States), 0, 0, None, 1904 
Ander_Crenshaw, Republican Party (United States), 0, 0, None, 1944 
Anders_Blewett, Democratic Party (United States), 0, 0, None, 1980 
Anderson_E._Shumate, Democratic Party (United States), 0, 0, Baptists, 1879 
Andre_Jacque, Republican Party (United States), 0, 0, None, 1980 
Andre_Thapedi, Democratic Party (United States), 0, 0, None, None 
Andrea_Cabral, Democratic Party (United States), 0, 0, None, None 
Andrea_Dalessandro, Democratic Party (United States), 0, 0, None, None 
Andrea_Doll, Democratic Party (United States), 0, 0, None, 1940 
Andrea_F._Nuciforo,_Jr., Democratic Party (United States), 0, 0, None, 1964 
Andrea_LaFontaine, Republican Party (United States), 0, 0, None, 1987 
Andrea_Lea, Republican Party (United States), 0, 0, Presbyterian Church in the United States, None 
Andrea_Saul, Republican Party (United States), 0, 0, None, None 
Andrea_Seastrand, Republican Party (United States), 1, 0, None, 1941 
Andrea_Stewart-Cousins, Democratic Party (United States), 0, 0, None, None 
Andrei_Cherny, Democratic Party (United States), 0, 0, Judaism, 1975 
Andrew_A._Serafini, Republican Party (United States), 0, 0, Fellowship of Grace Brethren Churches, 1962 
Andrew_Billow, Democratic Party (United States), 0, 0, None, None 
Andrew_Boden, Republican Party (United States), 0, 0, None, None 
Andrew_Boone, Democratic Party (United States), 0, 0, None, 1831 
Andrew_Brenner, Republican Party (United States), 0, 0, Christian, 1971 
Andrew_Brimmer, Democratic Party (United States), 0, 1, None, 1926 
Andrew_Butler, Democratic Party (United States), 0, 0, None, 1796 
Andrew_C._Brock, Republican Party (United States), 0, 0, United Methodist Church, 1974 
Andrew_C._Olson, Republican Party (United States), 0, 0, None, None 
Andrew_Caldwell_Mailer, Republican Party (United States), 0, 0, None, 1853 
Andrew_Card, Republican Party (United States), 0, 0, None, 1947 
Andrew_Carn, Democratic Party (United States), 0, 0, None, 1950 
Andrew_Ciarfardini, Republican Party (United States), 0, 0, None, None 
Andrew_Cohen_(politician), Democratic Party (United States), 0, 0, Jews, 1969 
Andrew_Cuomo, Democratic Party (United States), 1, 0, Catholic Church, 1957 
Andrew_D._Hurwitz, Democratic Party (United States), 0, 0, None, None 
Andrew_DeGraffenreidt, Democratic Party (United States), 0, 0, None, 1928 
Andrew_Dickson_White, Republican Party (United States), 1, 0, Episcopal Church (United States), 1832 
Andrew_Douglas_(judge), Republican Party (United States), 0, 0, None, None 
Andrew_E._Johnson, Democratic Party (United States), 0, 0, None, 1953 
Andrew_Ellison, Democratic Party (United States), 0, 0, None, None 
Andrew_Ewing, Democratic Party (United States), 0, 0, None, 1813 
Andrew_Farmer, Republican Party (United States), 0, 0, None, 1979 
Andrew_Fenrich, Democratic Party (United States), 0, 0, None, 1914 
Andrew_Frank_Schoeppel, Republican Party (United States), 0, 0, Methodism, 1894 
Andrew_Garbarino, Republican Party (United States), 0, 0, None, None 
Andrew_Gillum, Democratic Party (United States), 0, 0, Christianity, 1979 
Andrew_Ginther, Democratic Party (United States), 0, 0, None, 1975 
Andrew_Gordon_Magrath, Democratic Party (United States), 0, 0, None, 1813 
Andrew_H._Longino, Democratic Party (United States), 0, 0, Baptists, 1854 
Andrew_H._Mickle, Democratic Party (United States), 0, 0, None, 1805 
Andrew_Hevesi, Democratic Party (United States), 0, 0, None, None 
Andrew_Honeycutt, Republican Party (United States), 1, 0, None, None 
Andrew_Horatio_Reeder, Democratic Party (United States), 0, 0, None, 1807 
Andrew_Horne, Democratic Party (United States), 0, 0, Methodism, None 
Andrew_Hosmer, Democratic Party (United States), 0, 0, None, None 
Andrew_Humphreys, Democratic Party (United States), 0, 0, None, 1821 
Andrew_J._Applegate, Republican Party (United States), 0, 0, None, 1833 
Andrew_J._Burns_Jr, Democratic Party (United States), 0, 0, None, 1927 
Andrew_J._Duck, Democratic Party (United States), 0, 0, Lutheranism, 1962 
Andrew_J._Hinshaw, Republican Party (United States), 0, 0, None, 1923 
Andrew_J._May, Democratic Party (United States), 0, 0, None, 1875 
Andrew_J._McDonald, Democratic Party (United States), 0, 0, None, 1966 
Andrew_J._Rogers, Democratic Party (United States), 0, 0, None, 1828 
Andrew_J._Santaniello,_Jr., Republican Party (United States), 0, 0, None, 1926 
Andrew_J._Thayer, Democratic Party (United States), 0, 0, None, 1818 
Andrew_J._Waterman, Republican Party (United States), 0, 0, None, None 
Andrew_Jackson, Democratic Party (United States), 1, 2, Presbyterianism, 1767 
Andrew_Jackson_Barchfeld, Republican Party (United States), 0, 0, None, 1863 
Andrew_Jackson_Caldwell, Democratic Party (United States), 0, 0, None, 1837 
Andrew_Jackson_Donelson, Democratic Party (United States), 1, 0, None, 1799 
Andrew_Jackson_Houston, Democratic Party (United States), 0, 0, None, 1854 
Andrew_Jackson_Montague, Democratic Party (United States), 0, 0, None, 1862 
Andrew_Jackson_Sevier, Democratic Party (United States), 0, 0, Episcopal Church (United States), None 
Andrew_Jacobs,_Jr., Democratic Party (United States), 1, 0, Catholic Church, 1932 
Andrew_James_Peters, Democratic Party (United States), 0, 0, None, 1872 
Andrew_Jarvis, Republican Party (United States), 0, 0, Greek Orthodox Church, 1890 
Andrew_Johnson, Democratic Party (United States), 1, 0, None, 1808 
Andrew_Kandrevas, Democratic Party (United States), 0, 0, None, None 
Andrew_Koenig_(politician), Republican Party (United States), 0, 0, Christian, 1982 
